TagName,DateTime,Value,vValue,StartDateTime
S05.S05_A_Pump9_Flow,4/24/2013 13:54,(null),(null),4/23/2013 13:54
S05.S05_A_Pump9_Flow,4/25/2013 13:54,(null),(null),4/24/2013 13:54
S05.S05_A_Pump9_Flow,4/26/2013 13:54,(null),(null),4/25/2013 13:54
S05.S05_A_Pump9_Flow,4/27/2013 13:54,(null),(null),4/26/2013 13:54
S05.S05_A_Pump9_Flow,4/28/2013 13:54,(null),(null),4/27/2013 13:54
S05.S05_A_Pump9_Flow,4/29/2013 13:54,(null),(null),4/28/2013 13:54
S05.S05_A_Pump9_Flow,4/30/2013 13:54,(null),(null),4/29/2013 13:54
S05.S05_A_Pump9_Flow,5/1/2013 13:54,(null),(null),4/30/2013 13:54
S05.S05_A_Pump9_Flow,5/2/2013 13:54,(null),(null),5/1/2013 13:54
S05.S05_A_Pump9_Flow,5/3/2013 13:54,(null),(null),5/2/2013 13:54
S05.S05_A_Pump9_Flow,5/4/2013 13:54,(null),(null),5/3/2013 13:54
S05.S05_A_Pump9_Flow,5/5/2013 13:54,(null),(null),5/4/2013 13:54
S05.S05_A_Pump9_Flow,5/6/2013 13:54,(null),(null),5/5/2013 13:54
S05.S05_A_Pump9_Flow,5/7/2013 13:54,(null),(null),5/6/2013 13:54
S05.S05_A_Pump9_Flow,5/8/2013 13:54,(null),(null),5/7/2013 13:54
S05.S05_A_Pump9_Flow,5/9/2013 13:54,(null),(null),5/8/2013 13:54
S05.S05_A_Pump9_Flow,5/10/2013 13:54,(null),(null),5/9/2013 13:54
S05.S05_A_Pump9_Flow,5/11/2013 13:54,(null),(null),5/10/2013 13:54
S05.S05_A_Pump9_Flow,5/12/2013 13:54,(null),(null),5/11/2013 13:54
S05.S05_A_Pump9_Flow,5/13/2013 13:54,(null),(null),5/12/2013 13:54
S05.S05_A_Pump9_Flow,5/14/2013 13:54,(null),(null),5/13/2013 13:54
S05.S05_A_Pump9_Flow,5/15/2013 13:54,(null),(null),5/14/2013 13:54
S05.S05_A_Pump9_Flow,5/16/2013 13:54,(null),(null),5/15/2013 13:54
S05.S05_A_Pump9_Flow,5/17/2013 13:54,(null),(null),5/16/2013 13:54
S05.S05_A_Pump9_Flow,5/18/2013 13:54,(null),(null),5/17/2013 13:54
S05.S05_A_Pump9_Flow,5/19/2013 13:54,(null),(null),5/18/2013 13:54
S05.S05_A_Pump9_Flow,5/20/2013 13:54,(null),(null),5/19/2013 13:54
S05.S05_A_Pump9_Flow,5/21/2013 13:54,(null),(null),5/20/2013 13:54
S05.S05_A_Pump9_Flow,5/22/2013 13:54,(null),(null),5/21/2013 13:54
S05.S05_A_Pump9_Flow,5/23/2013 13:54,(null),(null),5/22/2013 13:54
S05.S05_A_Pump9_Flow,5/24/2013 13:54,(null),(null),5/23/2013 13:54
S05.S05_A_Pump9_Flow,5/25/2013 13:54,(null),(null),5/24/2013 13:54
S05.S05_A_Pump9_Flow,5/26/2013 13:54,(null),(null),5/25/2013 13:54
S05.S05_A_Pump9_Flow,5/27/2013 13:54,(null),(null),5/26/2013 13:54
S05.S05_A_Pump9_Flow,5/28/2013 13:54,(null),(null),5/27/2013 13:54
S05.S05_A_Pump9_Flow,5/29/2013 13:55,(null),(null),5/28/2013 13:54
S05.S05_A_Pump9_Flow,5/30/2013 13:55,(null),(null),5/29/2013 13:55
S05.S05_A_Pump9_Flow,5/31/2013 13:55,(null),(null),5/30/2013 13:55
S05.S05_A_Pump9_Flow,6/1/2013 13:55,(null),(null),5/31/2013 13:55
S05.S05_A_Pump9_Flow,6/2/2013 13:55,(null),(null),6/1/2013 13:55
S05.S05_A_Pump9_Flow,6/3/2013 13:55,(null),(null),6/2/2013 13:55
S05.S05_A_Pump9_Flow,6/4/2013 13:55,(null),(null),6/3/2013 13:55
S05.S05_A_Pump9_Flow,6/5/2013 13:55,(null),(null),6/4/2013 13:55
S05.S05_A_Pump9_Flow,6/6/2013 13:55,(null),(null),6/5/2013 13:55
S05.S05_A_Pump9_Flow,6/7/2013 13:55,(null),(null),6/6/2013 13:55
S05.S05_A_Pump9_Flow,6/8/2013 13:55,(null),(null),6/7/2013 13:55
S05.S05_A_Pump9_Flow,6/9/2013 13:55,(null),(null),6/8/2013 13:55
S05.S05_A_Pump9_Flow,6/10/2013 13:55,(null),(null),6/9/2013 13:55
S05.S05_A_Pump9_Flow,6/11/2013 13:55,(null),(null),6/10/2013 13:55
S05.S05_A_Pump9_Flow,6/12/2013 13:55,(null),(null),6/11/2013 13:55
S05.S05_A_Pump9_Flow,6/13/2013 13:55,(null),(null),6/12/2013 13:55
S05.S05_A_Pump9_Flow,6/14/2013 13:55,(null),(null),6/13/2013 13:55
S05.S05_A_Pump9_Flow,6/15/2013 13:55,(null),(null),6/14/2013 13:55
S05.S05_A_Pump9_Flow,6/16/2013 13:55,(null),(null),6/15/2013 13:55
S05.S05_A_Pump9_Flow,6/17/2013 13:55,(null),(null),6/16/2013 13:55
S05.S05_A_Pump9_Flow,6/18/2013 13:55,(null),(null),6/17/2013 13:55
S05.S05_A_Pump9_Flow,6/19/2013 13:55,(null),(null),6/18/2013 13:55
S05.S05_A_Pump9_Flow,6/20/2013 13:55,(null),(null),6/19/2013 13:55
S05.S05_A_Pump9_Flow,6/21/2013 13:55,(null),(null),6/20/2013 13:55
S05.S05_A_Pump9_Flow,6/22/2013 13:55,(null),(null),6/21/2013 13:55
S05.S05_A_Pump9_Flow,6/23/2013 13:55,(null),(null),6/22/2013 13:55
S05.S05_A_Pump9_Flow,6/24/2013 13:55,(null),(null),6/23/2013 13:55
S05.S05_A_Pump9_Flow,6/25/2013 13:55,(null),(null),6/24/2013 13:55
S05.S05_A_Pump9_Flow,6/26/2013 13:55,(null),(null),6/25/2013 13:55
S05.S05_A_Pump9_Flow,6/27/2013 13:55,(null),(null),6/26/2013 13:55
S05.S05_A_Pump9_Flow,6/28/2013 13:55,(null),(null),6/27/2013 13:55
S05.S05_A_Pump9_Flow,6/29/2013 13:55,(null),(null),6/28/2013 13:55
S05.S05_A_Pump9_Flow,6/30/2013 13:55,(null),(null),6/29/2013 13:55
S05.S05_A_Pump9_Flow,7/1/2013 13:55,(null),(null),6/30/2013 13:55
S05.S05_A_Pump9_Flow,7/2/2013 13:55,(null),(null),7/1/2013 13:55
S05.S05_A_Pump9_Flow,7/3/2013 13:55,(null),(null),7/2/2013 13:55
S05.S05_A_Pump9_Flow,7/4/2013 13:55,(null),(null),7/3/2013 13:55
S05.S05_A_Pump9_Flow,7/5/2013 13:55,(null),(null),7/4/2013 13:55
S05.S05_A_Pump9_Flow,7/6/2013 13:55,(null),(null),7/5/2013 13:55
S05.S05_A_Pump9_Flow,7/7/2013 13:55,(null),(null),7/6/2013 13:55
S05.S05_A_Pump9_Flow,7/8/2013 13:55,(null),(null),7/7/2013 13:55
S05.S05_A_Pump9_Flow,7/9/2013 13:55,(null),(null),7/8/2013 13:55
S05.S05_A_Pump9_Flow,7/10/2013 13:55,(null),(null),7/9/2013 13:55
S05.S05_A_Pump9_Flow,7/11/2013 13:55,(null),(null),7/10/2013 13:55
S05.S05_A_Pump9_Flow,7/12/2013 13:55,(null),(null),7/11/2013 13:55
S05.S05_A_Pump9_Flow,7/13/2013 13:55,(null),(null),7/12/2013 13:55
S05.S05_A_Pump9_Flow,7/14/2013 13:55,(null),(null),7/13/2013 13:55
S05.S05_A_Pump9_Flow,7/15/2013 13:55,(null),(null),7/14/2013 13:55
S05.S05_A_Pump9_Flow,7/16/2013 13:55,(null),(null),7/15/2013 13:55
S05.S05_A_Pump9_Flow,7/17/2013 13:55,(null),(null),7/16/2013 13:55
S05.S05_A_Pump9_Flow,7/18/2013 13:55,(null),(null),7/17/2013 13:55
S05.S05_A_Pump9_Flow,7/19/2013 13:55,(null),(null),7/18/2013 13:55
S05.S05_A_Pump9_Flow,7/20/2013 13:55,(null),(null),7/19/2013 13:55
S05.S05_A_Pump9_Flow,7/21/2013 13:55,(null),(null),7/20/2013 13:55
S05.S05_A_Pump9_Flow,7/22/2013 13:55,(null),(null),7/21/2013 13:55
S05.S05_A_Pump9_Flow,7/23/2013 13:55,(null),(null),7/22/2013 13:55
S05.S05_A_Pump9_Flow,7/24/2013 13:55,(null),(null),7/23/2013 13:55
S05.S05_A_Pump9_Flow,7/25/2013 13:55,(null),(null),7/24/2013 13:55
S05.S05_A_Pump9_Flow,7/26/2013 13:55,(null),(null),7/25/2013 13:55
S05.S05_A_Pump9_Flow,7/27/2013 13:55,(null),(null),7/26/2013 13:55
S05.S05_A_Pump9_Flow,7/28/2013 13:56,(null),(null),7/27/2013 13:55
S05.S05_A_Pump9_Flow,7/29/2013 13:56,(null),(null),7/28/2013 13:56
S05.S05_A_Pump9_Flow,7/30/2013 13:56,(null),(null),7/29/2013 13:56
S05.S05_A_Pump9_Flow,7/31/2013 13:56,(null),(null),7/30/2013 13:56
S05.S05_A_Pump9_Flow,8/1/2013 13:56,(null),(null),7/31/2013 13:56
S05.S05_A_Pump9_Flow,8/2/2013 13:56,(null),(null),8/1/2013 13:56
S05.S05_A_Pump9_Flow,8/3/2013 13:56,(null),(null),8/2/2013 13:56
S05.S05_A_Pump9_Flow,8/4/2013 13:56,(null),(null),8/3/2013 13:56
S05.S05_A_Pump9_Flow,8/5/2013 13:56,(null),(null),8/4/2013 13:56
S05.S05_A_Pump9_Flow,8/6/2013 13:56,(null),(null),8/5/2013 13:56
S05.S05_A_Pump9_Flow,8/7/2013 13:56,(null),(null),8/6/2013 13:56
S05.S05_A_Pump9_Flow,8/8/2013 13:56,(null),(null),8/7/2013 13:56
S05.S05_A_Pump9_Flow,8/9/2013 13:56,(null),(null),8/8/2013 13:56
S05.S05_A_Pump9_Flow,8/10/2013 13:56,(null),(null),8/9/2013 13:56
S05.S05_A_Pump9_Flow,8/11/2013 13:56,(null),(null),8/10/2013 13:56
S05.S05_A_Pump9_Flow,8/12/2013 13:56,(null),(null),8/11/2013 13:56
S05.S05_A_Pump9_Flow,8/13/2013 13:56,(null),(null),8/12/2013 13:56
S05.S05_A_Pump9_Flow,8/14/2013 13:56,(null),(null),8/13/2013 13:56
S05.S05_A_Pump9_Flow,8/15/2013 13:56,(null),(null),8/14/2013 13:56
S05.S05_A_Pump9_Flow,8/16/2013 13:56,(null),(null),8/15/2013 13:56
S05.S05_A_Pump9_Flow,8/17/2013 13:56,(null),(null),8/16/2013 13:56
S05.S05_A_Pump9_Flow,8/18/2013 13:56,(null),(null),8/17/2013 13:56
S05.S05_A_Pump9_Flow,8/19/2013 13:56,(null),(null),8/18/2013 13:56
S05.S05_A_Pump9_Flow,8/20/2013 13:56,(null),(null),8/19/2013 13:56
S05.S05_A_Pump9_Flow,8/21/2013 13:56,(null),(null),8/20/2013 13:56
S05.S05_A_Pump9_Flow,8/22/2013 13:56,(null),(null),8/21/2013 13:56
S05.S05_A_Pump9_Flow,8/23/2013 13:56,(null),(null),8/22/2013 13:56
S05.S05_A_Pump9_Flow,8/24/2013 13:56,(null),(null),8/23/2013 13:56
S05.S05_A_Pump9_Flow,8/25/2013 13:56,(null),(null),8/24/2013 13:56
S05.S05_A_Pump9_Flow,8/26/2013 13:56,(null),(null),8/25/2013 13:56
S05.S05_A_Pump9_Flow,8/27/2013 13:56,(null),(null),8/26/2013 13:56
S05.S05_A_Pump9_Flow,8/28/2013 13:56,(null),(null),8/27/2013 13:56
S05.S05_A_Pump9_Flow,8/29/2013 13:56,(null),(null),8/28/2013 13:56
S05.S05_A_Pump9_Flow,8/30/2013 13:56,(null),(null),8/29/2013 13:56
S05.S05_A_Pump9_Flow,8/31/2013 13:56,(null),(null),8/30/2013 13:56
S05.S05_A_Pump9_Flow,9/1/2013 13:56,(null),(null),8/31/2013 13:56
S05.S05_A_Pump9_Flow,9/2/2013 13:56,(null),(null),9/1/2013 13:56
S05.S05_A_Pump9_Flow,9/3/2013 13:56,(null),(null),9/2/2013 13:56
S05.S05_A_Pump9_Flow,9/4/2013 13:56,(null),(null),9/3/2013 13:56
S05.S05_A_Pump9_Flow,9/5/2013 13:56,(null),(null),9/4/2013 13:56
S05.S05_A_Pump9_Flow,9/6/2013 13:56,(null),(null),9/5/2013 13:56
S05.S05_A_Pump9_Flow,9/7/2013 13:56,(null),(null),9/6/2013 13:56
S05.S05_A_Pump9_Flow,9/8/2013 13:56,(null),(null),9/7/2013 13:56
S05.S05_A_Pump9_Flow,9/9/2013 13:56,(null),(null),9/8/2013 13:56
S05.S05_A_Pump9_Flow,9/10/2013 13:56,(null),(null),9/9/2013 13:56
S05.S05_A_Pump9_Flow,9/11/2013 13:56,(null),(null),9/10/2013 13:56
S05.S05_A_Pump9_Flow,9/12/2013 13:56,(null),(null),9/11/2013 13:56
S05.S05_A_Pump9_Flow,9/13/2013 13:56,(null),(null),9/12/2013 13:56
S05.S05_A_Pump9_Flow,9/14/2013 13:56,(null),(null),9/13/2013 13:56
S05.S05_A_Pump9_Flow,9/15/2013 13:56,(null),(null),9/14/2013 13:56
S05.S05_A_Pump9_Flow,9/16/2013 13:56,(null),(null),9/15/2013 13:56
S05.S05_A_Pump9_Flow,9/17/2013 13:56,(null),(null),9/16/2013 13:56
S05.S05_A_Pump9_Flow,9/18/2013 13:56,(null),(null),9/17/2013 13:56
S05.S05_A_Pump9_Flow,9/19/2013 13:56,(null),(null),9/18/2013 13:56
S05.S05_A_Pump9_Flow,9/20/2013 13:56,(null),(null),9/19/2013 13:56
S05.S05_A_Pump9_Flow,9/21/2013 13:56,(null),(null),9/20/2013 13:56
S05.S05_A_Pump9_Flow,9/22/2013 13:56,(null),(null),9/21/2013 13:56
S05.S05_A_Pump9_Flow,9/23/2013 13:56,(null),(null),9/22/2013 13:56
S05.S05_A_Pump9_Flow,9/24/2013 13:56,(null),(null),9/23/2013 13:56
S05.S05_A_Pump9_Flow,9/25/2013 13:56,(null),(null),9/24/2013 13:56
S05.S05_A_Pump9_Flow,9/26/2013 13:57,(null),(null),9/25/2013 13:56
S05.S05_A_Pump9_Flow,9/27/2013 13:57,(null),(null),9/26/2013 13:57
S05.S05_A_Pump9_Flow,9/28/2013 13:57,(null),(null),9/27/2013 13:57
S05.S05_A_Pump9_Flow,9/29/2013 13:57,(null),(null),9/28/2013 13:57
S05.S05_A_Pump9_Flow,9/30/2013 13:57,(null),(null),9/29/2013 13:57
S05.S05_A_Pump9_Flow,10/1/2013 13:57,(null),(null),9/30/2013 13:57
S05.S05_A_Pump9_Flow,10/2/2013 13:57,(null),(null),10/1/2013 13:57
S05.S05_A_Pump9_Flow,10/3/2013 13:57,(null),(null),10/2/2013 13:57
S05.S05_A_Pump9_Flow,10/4/2013 13:57,(null),(null),10/3/2013 13:57
S05.S05_A_Pump9_Flow,10/5/2013 13:57,(null),(null),10/4/2013 13:57
S05.S05_A_Pump9_Flow,10/6/2013 13:57,(null),(null),10/5/2013 13:57
S05.S05_A_Pump9_Flow,10/7/2013 13:57,(null),(null),10/6/2013 13:57
S05.S05_A_Pump9_Flow,10/8/2013 13:57,(null),(null),10/7/2013 13:57
S05.S05_A_Pump9_Flow,10/9/2013 13:57,(null),(null),10/8/2013 13:57
S05.S05_A_Pump9_Flow,10/10/2013 13:57,(null),(null),10/9/2013 13:57
S05.S05_A_Pump9_Flow,10/11/2013 13:57,(null),(null),10/10/2013 13:57
S05.S05_A_Pump9_Flow,10/12/2013 13:57,(null),(null),10/11/2013 13:57
S05.S05_A_Pump9_Flow,10/13/2013 13:57,(null),(null),10/12/2013 13:57
S05.S05_A_Pump9_Flow,10/14/2013 13:57,(null),(null),10/13/2013 13:57
S05.S05_A_Pump9_Flow,10/15/2013 13:57,(null),(null),10/14/2013 13:57
S05.S05_A_Pump9_Flow,10/16/2013 13:57,(null),(null),10/15/2013 13:57
S05.S05_A_Pump9_Flow,10/17/2013 13:57,(null),(null),10/16/2013 13:57
S05.S05_A_Pump9_Flow,10/18/2013 13:57,(null),(null),10/17/2013 13:57
S05.S05_A_Pump9_Flow,10/19/2013 13:57,(null),(null),10/18/2013 13:57
S05.S05_A_Pump9_Flow,10/20/2013 13:57,(null),(null),10/19/2013 13:57
S05.S05_A_Pump9_Flow,10/21/2013 13:57,(null),(null),10/20/2013 13:57
S05.S05_A_Pump9_Flow,10/22/2013 13:57,(null),(null),10/21/2013 13:57
S05.S05_A_Pump9_Flow,10/23/2013 13:57,(null),(null),10/22/2013 13:57
S05.S05_A_Pump9_Flow,10/24/2013 13:57,(null),(null),10/23/2013 13:57
S05.S05_A_Pump9_Flow,10/25/2013 13:57,(null),(null),10/24/2013 13:57
S05.S05_A_Pump9_Flow,10/26/2013 13:57,(null),(null),10/25/2013 13:57
S05.S05_A_Pump9_Flow,10/27/2013 13:57,(null),(null),10/26/2013 13:57
S05.S05_A_Pump9_Flow,10/28/2013 13:57,(null),(null),10/27/2013 13:57
S05.S05_A_Pump9_Flow,10/29/2013 13:57,(null),(null),10/28/2013 13:57
S05.S05_A_Pump9_Flow,10/30/2013 13:57,(null),(null),10/29/2013 13:57
S05.S05_A_Pump9_Flow,10/31/2013 13:57,(null),(null),10/30/2013 13:57
S05.S05_A_Pump9_Flow,11/1/2013 13:57,(null),(null),10/31/2013 13:57
S05.S05_A_Pump9_Flow,11/2/2013 13:57,(null),(null),11/1/2013 13:57
S05.S05_A_Pump9_Flow,11/3/2013 12:57,(null),(null),11/2/2013 13:57
S05.S05_A_Pump9_Flow,11/4/2013 12:57,(null),(null),11/3/2013 12:57
S05.S05_A_Pump9_Flow,11/5/2013 12:57,(null),(null),11/4/2013 12:57
S05.S05_A_Pump9_Flow,11/6/2013 12:57,(null),(null),11/5/2013 12:57
S05.S05_A_Pump9_Flow,11/7/2013 12:57,(null),(null),11/6/2013 12:57
S05.S05_A_Pump9_Flow,11/8/2013 12:57,(null),(null),11/7/2013 12:57
S05.S05_A_Pump9_Flow,11/9/2013 12:57,(null),(null),11/8/2013 12:57
S05.S05_A_Pump9_Flow,11/10/2013 12:57,(null),(null),11/9/2013 12:57
S05.S05_A_Pump9_Flow,11/11/2013 12:57,(null),(null),11/10/2013 12:57
S05.S05_A_Pump9_Flow,11/12/2013 12:57,(null),(null),11/11/2013 12:57
S05.S05_A_Pump9_Flow,11/13/2013 12:57,(null),(null),11/12/2013 12:57
S05.S05_A_Pump9_Flow,11/14/2013 12:57,(null),(null),11/13/2013 12:57
S05.S05_A_Pump9_Flow,11/15/2013 12:57,(null),(null),11/14/2013 12:57
S05.S05_A_Pump9_Flow,11/16/2013 12:57,(null),(null),11/15/2013 12:57
S05.S05_A_Pump9_Flow,11/17/2013 12:57,(null),(null),11/16/2013 12:57
S05.S05_A_Pump9_Flow,11/18/2013 12:57,(null),(null),11/17/2013 12:57
S05.S05_A_Pump9_Flow,11/19/2013 12:57,(null),(null),11/18/2013 12:57
S05.S05_A_Pump9_Flow,11/20/2013 12:57,(null),(null),11/19/2013 12:57
S05.S05_A_Pump9_Flow,11/21/2013 12:57,(null),(null),11/20/2013 12:57
S05.S05_A_Pump9_Flow,11/22/2013 12:57,(null),(null),11/21/2013 12:57
S05.S05_A_Pump9_Flow,11/23/2013 12:57,(null),(null),11/22/2013 12:57
S05.S05_A_Pump9_Flow,11/24/2013 12:57,(null),(null),11/23/2013 12:57
S05.S05_A_Pump9_Flow,11/25/2013 12:58,(null),(null),11/24/2013 12:57
S05.S05_A_Pump9_Flow,11/26/2013 12:58,(null),(null),11/25/2013 12:58
S05.S05_A_Pump9_Flow,11/27/2013 12:58,(null),(null),11/26/2013 12:58
S05.S05_A_Pump9_Flow,11/28/2013 12:58,(null),(null),11/27/2013 12:58
S05.S05_A_Pump9_Flow,11/29/2013 12:58,(null),(null),11/28/2013 12:58
S05.S05_A_Pump9_Flow,11/30/2013 12:58,(null),(null),11/29/2013 12:58
S05.S05_A_Pump9_Flow,12/1/2013 12:58,(null),(null),11/30/2013 12:58
S05.S05_A_Pump9_Flow,12/2/2013 12:58,(null),(null),12/1/2013 12:58
S05.S05_A_Pump9_Flow,12/3/2013 12:58,(null),(null),12/2/2013 12:58
S05.S05_A_Pump9_Flow,12/4/2013 12:58,(null),(null),12/3/2013 12:58
S05.S05_A_Pump9_Flow,12/5/2013 12:58,(null),(null),12/4/2013 12:58
S05.S05_A_Pump9_Flow,12/6/2013 12:58,(null),(null),12/5/2013 12:58
S05.S05_A_Pump9_Flow,12/7/2013 12:58,(null),(null),12/6/2013 12:58
S05.S05_A_Pump9_Flow,12/8/2013 12:58,(null),(null),12/7/2013 12:58
S05.S05_A_Pump9_Flow,12/9/2013 12:58,(null),(null),12/8/2013 12:58
S05.S05_A_Pump9_Flow,12/10/2013 12:58,(null),(null),12/9/2013 12:58
S05.S05_A_Pump9_Flow,12/11/2013 12:58,(null),(null),12/10/2013 12:58
S05.S05_A_Pump9_Flow,12/12/2013 12:58,(null),(null),12/11/2013 12:58
S05.S05_A_Pump9_Flow,12/13/2013 12:58,(null),(null),12/12/2013 12:58
S05.S05_A_Pump9_Flow,12/14/2013 12:58,(null),(null),12/13/2013 12:58
S05.S05_A_Pump9_Flow,12/15/2013 12:58,(null),(null),12/14/2013 12:58
S05.S05_A_Pump9_Flow,12/16/2013 12:58,(null),(null),12/15/2013 12:58
S05.S05_A_Pump9_Flow,12/17/2013 12:58,(null),(null),12/16/2013 12:58
S05.S05_A_Pump9_Flow,12/18/2013 12:58,(null),(null),12/17/2013 12:58
S05.S05_A_Pump9_Flow,12/19/2013 12:58,(null),(null),12/18/2013 12:58
S05.S05_A_Pump9_Flow,12/20/2013 12:58,(null),(null),12/19/2013 12:58
S05.S05_A_Pump9_Flow,12/21/2013 12:58,(null),(null),12/20/2013 12:58
S05.S05_A_Pump9_Flow,12/22/2013 12:58,(null),(null),12/21/2013 12:58
S05.S05_A_Pump9_Flow,12/23/2013 12:58,(null),(null),12/22/2013 12:58
S05.S05_A_Pump9_Flow,12/24/2013 12:58,(null),(null),12/23/2013 12:58
S05.S05_A_Pump9_Flow,12/25/2013 12:58,(null),(null),12/24/2013 12:58
S05.S05_A_Pump9_Flow,12/26/2013 12:58,(null),(null),12/25/2013 12:58
S05.S05_A_Pump9_Flow,12/27/2013 12:58,(null),(null),12/26/2013 12:58
S05.S05_A_Pump9_Flow,12/28/2013 12:58,(null),(null),12/27/2013 12:58
S05.S05_A_Pump9_Flow,12/29/2013 12:58,(null),(null),12/28/2013 12:58
S05.S05_A_Pump9_Flow,12/30/2013 12:58,(null),(null),12/29/2013 12:58
S05.S05_A_Pump9_Flow,12/31/2013 12:58,(null),(null),12/30/2013 12:58
S05.S05_A_Pump9_Flow,1/1/2014 12:58,(null),(null),12/31/2013 12:58
S05.S05_A_Pump9_Flow,1/2/2014 12:58,(null),(null),1/1/2014 12:58
S05.S05_A_Pump9_Flow,1/3/2014 12:58,(null),(null),1/2/2014 12:58
S05.S05_A_Pump9_Flow,1/4/2014 12:58,(null),(null),1/3/2014 12:58
S05.S05_A_Pump9_Flow,1/5/2014 12:58,(null),(null),1/4/2014 12:58
S05.S05_A_Pump9_Flow,1/6/2014 12:58,(null),(null),1/5/2014 12:58
S05.S05_A_Pump9_Flow,1/7/2014 12:58,(null),(null),1/6/2014 12:58
S05.S05_A_Pump9_Flow,1/8/2014 12:58,(null),(null),1/7/2014 12:58
S05.S05_A_Pump9_Flow,1/9/2014 12:58,(null),(null),1/8/2014 12:58
S05.S05_A_Pump9_Flow,1/10/2014 12:58,(null),(null),1/9/2014 12:58
S05.S05_A_Pump9_Flow,1/11/2014 12:58,(null),(null),1/10/2014 12:58
S05.S05_A_Pump9_Flow,1/12/2014 12:58,(null),(null),1/11/2014 12:58
S05.S05_A_Pump9_Flow,1/13/2014 12:58,(null),(null),1/12/2014 12:58
S05.S05_A_Pump9_Flow,1/14/2014 12:58,(null),(null),1/13/2014 12:58
S05.S05_A_Pump9_Flow,1/15/2014 12:58,(null),(null),1/14/2014 12:58
S05.S05_A_Pump9_Flow,1/16/2014 12:58,(null),(null),1/15/2014 12:58
S05.S05_A_Pump9_Flow,1/17/2014 12:58,(null),(null),1/16/2014 12:58
S05.S05_A_Pump9_Flow,1/18/2014 12:58,(null),(null),1/17/2014 12:58
S05.S05_A_Pump9_Flow,1/19/2014 12:58,(null),(null),1/18/2014 12:58
S05.S05_A_Pump9_Flow,1/20/2014 12:58,(null),(null),1/19/2014 12:58
S05.S05_A_Pump9_Flow,1/21/2014 12:58,(null),(null),1/20/2014 12:58
S05.S05_A_Pump9_Flow,1/22/2014 12:58,(null),(null),1/21/2014 12:58
S05.S05_A_Pump9_Flow,1/23/2014 12:58,(null),(null),1/22/2014 12:58
S05.S05_A_Pump9_Flow,1/24/2014 12:59,(null),(null),1/23/2014 12:58
S05.S05_A_Pump9_Flow,1/25/2014 12:59,(null),(null),1/24/2014 12:59
S05.S05_A_Pump9_Flow,1/26/2014 12:59,(null),(null),1/25/2014 12:59
S05.S05_A_Pump9_Flow,1/27/2014 12:59,(null),(null),1/26/2014 12:59
S05.S05_A_Pump9_Flow,1/28/2014 12:59,(null),(null),1/27/2014 12:59
S05.S05_A_Pump9_Flow,1/29/2014 12:59,(null),(null),1/28/2014 12:59
S05.S05_A_Pump9_Flow,1/30/2014 12:59,(null),(null),1/29/2014 12:59
S05.S05_A_Pump9_Flow,1/31/2014 12:59,(null),(null),1/30/2014 12:59
S05.S05_A_Pump9_Flow,2/1/2014 12:59,(null),(null),1/31/2014 12:59
S05.S05_A_Pump9_Flow,2/2/2014 12:59,(null),(null),2/1/2014 12:59
S05.S05_A_Pump9_Flow,2/3/2014 12:59,(null),(null),2/2/2014 12:59
S05.S05_A_Pump9_Flow,2/4/2014 12:59,(null),(null),2/3/2014 12:59
S05.S05_A_Pump9_Flow,2/5/2014 12:59,(null),(null),2/4/2014 12:59
S05.S05_A_Pump9_Flow,2/6/2014 12:59,(null),(null),2/5/2014 12:59
S05.S05_A_Pump9_Flow,2/7/2014 12:59,(null),(null),2/6/2014 12:59
S05.S05_A_Pump9_Flow,2/8/2014 12:59,(null),(null),2/7/2014 12:59
S05.S05_A_Pump9_Flow,2/9/2014 12:59,(null),(null),2/8/2014 12:59
S05.S05_A_Pump9_Flow,2/10/2014 12:59,(null),(null),2/9/2014 12:59
S05.S05_A_Pump9_Flow,2/11/2014 12:59,(null),(null),2/10/2014 12:59
S05.S05_A_Pump9_Flow,2/12/2014 12:59,(null),(null),2/11/2014 12:59
S05.S05_A_Pump9_Flow,2/13/2014 12:59,(null),(null),2/12/2014 12:59
S05.S05_A_Pump9_Flow,2/14/2014 12:59,(null),(null),2/13/2014 12:59
S05.S05_A_Pump9_Flow,2/15/2014 12:59,(null),(null),2/14/2014 12:59
S05.S05_A_Pump9_Flow,2/16/2014 12:59,(null),(null),2/15/2014 12:59
S05.S05_A_Pump9_Flow,2/17/2014 12:59,(null),(null),2/16/2014 12:59
S05.S05_A_Pump9_Flow,2/18/2014 12:59,(null),(null),2/17/2014 12:59
S05.S05_A_Pump9_Flow,2/19/2014 12:59,(null),(null),2/18/2014 12:59
S05.S05_A_Pump9_Flow,2/20/2014 12:59,(null),(null),2/19/2014 12:59
S05.S05_A_Pump9_Flow,2/21/2014 12:59,(null),(null),2/20/2014 12:59
S05.S05_A_Pump9_Flow,2/22/2014 12:59,(null),(null),2/21/2014 12:59
S05.S05_A_Pump9_Flow,2/23/2014 12:59,(null),(null),2/22/2014 12:59
S05.S05_A_Pump9_Flow,2/24/2014 12:59,(null),(null),2/23/2014 12:59
S05.S05_A_Pump9_Flow,2/25/2014 12:59,(null),(null),2/24/2014 12:59
S05.S05_A_Pump9_Flow,2/26/2014 12:59,(null),(null),2/25/2014 12:59
S05.S05_A_Pump9_Flow,2/27/2014 12:59,(null),(null),2/26/2014 12:59
